cpu,threads,queue,service_time
0,37,0,0,
5
40,37,0,423,
0,37,0,423,
12.5,37,0,423,
0,37,0,423,
0,37,0,423,
12.5,37,0,423,
12.5,37,0,423,
30,37,0,423,
42.9,37,0,435,
0,37,0,435,
0,37,0,435,
0,37,0,435,
0,37,0,435,
0,37,0,435,
12.5,37,0,435,
14.3,37,0,435,
36.4,37,0,435,
0,37,0,636,
0,37,0,636,
0,37,0,636,
14.3,37,0,636,
0,37,0,636,
0,37,0,636,
11.1,37,0,636,
0,37,0,636,
46.2,37,0,629,
0,37,0,629,
12.5,37,0,629,
0,37,0,629,
12.5,37,0,629,
11.1,37,0,629,
0,37,0,629,
0,37,0,629,
0,37,0,629,
41.7,37,0,624,
12.5,37,0,624,
0,37,0,624,
14.3,37,0,624,
0,37,0,624,
0,37,0,624,
12.5,37,0,624,
0,37,0,624,
10
83.3,37,0,490,
15.4,37,0,767,
14.3,37,0,767,
14.3,37,0,767,
0,37,0,767,
0,37,0,767,
14.3,37,0,767,
0,37,0,767,
42.1,37,0,767,
71.4,37,0,651,
33.3,37,0,635,
0,37,0,635,
0,37,0,635,
12.5,37,0,635,
0,37,0,635,
78.9,37,0,468,
71.4,37,0,655,
12.5,37,0,655,
0,37,0,655,
0,37,0,655,
0,37,0,655,
0,37,0,655,
77.8,37,0,519,
33.3,37,0,765,
0,37,0,765,
18.2,37,0,765,
18.2,37,0,765,
7.1,37,0,765,
20,37,0,449,
76,37,0,713,
42.1,37,0,759,
0,37,0,759,
0,37,0,759,
14.3,37,0,759,
0,37,0,759,
0,37,0,759,
15
86.8,37,0,832,
79.2,37,0,1021,
0,37,0,1021,
0,37,0,1021,
0,37,0,1021,
0,37,0,294,
89.5,37,0,294,
82.8,37,0,926,
25,37,0,993,
12.5,37,0,297,
0,37,0,297,
0,37,0,297,
0,37,0,297,
87.9,37,0,845,
31.6,37,0,926,
11.1,37,0,472,
0,37,0,472,
0,37,0,472,
14.3,37,0,472,
89.7,37,0,825,
84.2,37,0,1045,
11.1,37,0,655,
0,37,0,655,
0,37,0,655,
0,37,0,655,
45,37,0,655,
80,37,0,984,
53.8,37,0,1032,
14.3,37,0,1032,
14.3,37,0,1032,
0,37,0,1032,
0,37,0,1032,
0,37,0,1032,
20
0,37,0,1032,
71.8,37,0,1032,
86.4,37,0,1326,
82.1,37,0,1530,
0,37,0,1530,
22.2,37,0,341,
0,37,0,341,
22.2,37,0,464,
90,37,0,928,
87.5,37,0,1093,
35.7,37,0,704,
22.2,37,0,351,
12.5,37,0,305,
30,37,0,305,
86,37,0,852,
91.7,37,0,1100,
40,37,0,515,
12.5,37,0,515,
11.1,37,0,515,
54.5,37,0,415,
72.2,37,0,584,
88.1,37,0,840,
12.5,37,0,826,
44.4,37,0,430,
30.8,37,0,404,
9.1,37,0,324,
0,37,0,324,
61.1,37,0,505,
20,37,0,612,
0,37,0,612,
0,37,0,612,
0,37,0,612,
0,37,0,612,
25
86,37,0,612,
82.6,37,0,1374,
91.2,37,0,1877,
0,37,0,1877,
12.5,37,0,1877,
12.5,37,0,1877,
45.5,37,0,1877,
79.1,37,0,598,
89.5,37,0,1129,
77.4,37,0,1588,
50,37,0,737,
0,37,0,737,
12.5,37,0,737,
73.3,37,0,737,
83.7,37,0,1115,
84.8,37,0,900,
40,37,0,1010,
22.2,37,0,350,
22.2,37,0,350,
50,37,0,575,
93.1,37,0,773,
89.8,37,0,1198,
83.3,37,0,687,
35.7,37,0,644,
0,37,0,644,
20,37,0,381,
73.7,37,0,556,
35,37,0,586,
0,37,0,586,
0,37,0,586,
12.5,37,0,586,
0,37,0,586,
0,37,0,586,
30
90.7,37,0,586,
89.4,37,0,1784,
78.6,37,0,2167,
40,37,0,845,
14.3,37,0,845,
36.4,37,0,397,
72.2,37,0,437,
84,37,0,1170,
92.3,37,0,1642,
87.5,37,0,1277,
64.3,37,0,1289,
50,37,0,504,
52.6,37,0,563,
92.9,37,0,983,
83.3,37,0,1304,
87.5,37,0,1867,
75,37,0,644,
20,37,0,600,
83.3,37,0,682,
86.4,37,0,1068,
88.4,37,0,1376,
75,37,0,1397,
75,37,0,786,
20,37,0,634,
20,37,0,323,
14.3,37,0,323,
0,37,0,323,
0,37,0,323,
0,37,0,323,
0,37,0,323,
0,37,0,323,
35
0,37,1,323,
0,37,1,323,
83.3,37,1,323,
90.5,37,0,2110,
91.3,37,0,2600,
45.5,37,0,988,
40,37,0,484,
46.2,37,0,443,
50,37,0,546,
92.1,37,3,1034,
86.2,37,0,1721,
82.8,37,0,2185,
87.5,37,0,1275,
68.4,37,0,888,
61.9,37,0,642,
77.4,37,0,702,
91.4,37,0,1728,
73.9,37,0,1741,
57.1,37,0,1291,
36.4,37,0,575,
95.8,37,0,882,
87.5,37,0,1300,
90.7,37,0,1570,
81,37,0,1770,
77.8,37,0,766,
53.3,37,0,991,
9.1,37,0,622,
11.1,37,0,348,
0,37,0,348,
0,37,0,348,
0,37,0,348,
0,37,0,348,
0,37,0,348,
40
0,37,10,348,
92.1,37,8,1332,
84.2,37,0,2356,
85.7,37,0,1078,
78.9,37,0,978,
88.4,37,0,1174,
88.4,37,1,1634,
89.6,37,1,1854,
84.6,37,0,1573,
87,37,0,1481,
84.2,37,0,1133,
91,37,1,1590,
88.1,37,0,1788,
83,37,0,2216,
85.4,37,0,1539,
91.9,37,0,1507,
86.8,37,1,1633,
90.7,37,0,1972,
85.7,37,0,1898,
82.4,37,0,1742,
87.5,37,0,1309,
66.7,37,0,1153,
20,37,0,570,
0,37,0,570,
0,37,0,570,
12.5,37,0,570,
0,37,0,570,
0,37,0,570,
45
0,37,10,570,
74.6,37,11,570,
95.3,37,11,570,
86.8,37,1,2307,
85.4,37,0,2802,
92.1,37,0,1816,
86.2,37,0,1490,
86.2,37,2,2062,
84.7,37,0,2369,
91.9,37,0,2170,
88.4,37,1,1969,
86,37,5,2172,
87.7,37,0,1762,
85.7,37,0,1807,
91.7,37,3,2207,
88.4,37,0,1872,
86,37,2,1968,
85.4,37,1,2136,
84.1,37,0,2028,
88.4,37,0,2167,
89.6,37,0,1980,
89.6,37,0,1928,
83.3,37,0,1315,
10,37,0,782,
12.5,37,0,782,
0,37,0,782,
0,37,0,782,
0,37,19,782,
50
79.2,37,19,782,
94.3,37,19,782,
88.7,37,5,2244,
88.9,37,0,2687,
90.3,37,14,1975,
88.5,37,3,1922,
90.3,37,5,1726,
86,37,11,1906,
81.4,37,4,2019,
88.7,37,5,1963,
84.2,37,9,1983,
87.2,37,3,2414,
87.2,37,7,2299,
84.1,37,9,2324,
88.7,37,2,1684,
82.1,37,8,2300,
83.3,37,5,1963,
82.9,37,3,1652,
85.7,37,10,2396,
87.7,37,2,2265,
86.6,37,0,2363,
89.6,37,0,1776,
86.2,37,0,2315,
78.6,37,0,1569,
10,37,0,1025,
12.5,37,0,1025,
0,37,0,1025,
0,37,0,1025,
0,37,0,1025,
100000
