clients,requests,success_percent,timeout_percent,error_percent,avg_rt,throughput,avg_rt_2
5,2.27915,100,0,0,28.52,2.27915,1138.44
10,4.59982,100,0,0,44.94,4.59982,1147.54
15,6.06993,92,8,0,61.971,5.58433,1207.01
20,5.99664,100,0,0,90.78,5.99664,2089.28
25,7.42457,96.8,3.2,0,102.182,7.18698,2265.7
30,8.36307,98,2,0,89.5034,8.19581,2147.12
35,8.78955,98.2857,1.71429,0,93.9651,8.63887,2496.17
40,9.73568,97.5,2.5,0,115.872,9.49228,2818.45
45,9.71712,99.1111,0.888889,0,124.574,9.63075,3401.55
50,9.80162,96.8,3.2,0,125.831,9.48796,3876.1
